School,Name,Role,LinkedIn
DAV Public School Panchkula,Amita Sachdeva,Principal,https://in.linkedin.com/in/amita-sachdeva-590ba51b7
DAV Public School Mohali,Rajan Gautam,Principal,https://in.linkedin.com/in/rajan-gautam-090129139
Dikshant International School Zirakpur,Sabina Sharma,Principal,https://in.linkedin.com/in/sabina-sharma-298b77157
Banyan Tree School Chandigarh,Dr. Jayeta Auddy,Principal,https://in.linkedin.com/in/dr-jayeta-auddy-011965147
CPS Global School Chandigarh,Rama Mylavarapu,Principal,https://www.linkedin.com/in/rama-mylavarapu-60201828
Career Point Gurukul Mohali,Raina Chona,Principal,https://in.linkedin.com/in/raina-chona-308700157
The Chandigarh Group of Colleges School,Dr. Ramandeep Saini,Principal,https://in.linkedin.com/in/drramandeepsaini
Mount Litera Zee School Chandigarh,Soniya Khatri,Principal,https://in.linkedin.com/in/soniya-khatri-53395a30
Brookfield International School Chandigarh,manisha sharma,Principal,https://in.linkedin.com/in/manisha-sharma-2234831b3
North Country School Mohali,,Principal,https://in.linkedin.com/in/hyacinthpulickan
Holy Child Public School Zirakpur,Deepak Roy,Principal,https://in.linkedin.com/in/deepak-roy-92051752
EuroKids International School Chandigarh,Mrs Namita Sawant,Principal,https://in.linkedin.com/in/mrs-namita-sawant-35739a22b
Sri Guru Harkrishan Model School Chandigarh,Amarjeet Singh,Principal,https://in.linkedin.com/in/amarjeet-singh-46726b141
Shishu Niketan Public School Chandigarh,Ravi Prabhakar,Principal,https://in.linkedin.com/in/ravi-prabhakar-070b51222
Government Girls Senior Secondary School Sector 18 Chandigarh,,Principal,https://in.linkedin.com/in/principal-padhiana-4929b560
Government Model High School Manimajra,Raj Bala,Principal,https://in.linkedin.com/in/raj-bala-55283a11a
Cambridge International School Zirakpur,Jasleen Kaur,Principal,https://in.linkedin.com/in/jasleen-kaur-84a357233
Gurukul Global School Chandigarh,Nina Pandey,Principal,https://in.linkedin.com/in/nina-pandey-74b02916b
Mountview Academy Chandigarh,Jasmeet Kahlon,Principal,https://in.linkedin.com/in/jasmeet-kahlon-76456270
Strawberry Kids School Chandigarh,Shabnam Singha,Vice Principal,https://in.linkedin.com/in/shabnam-singha-1a693411
St Mary’s School Chandigarh,Neha Kashyap,Principal,https://in.linkedin.com/in/neha-kashyap-87a7b974
Wisdom World School Kurali,Poorva Tiwari,Principal,https://in.linkedin.com/in/poorva-tiwari-b69978383
Jawahar Navodaya Vidyalaya Chandigarh Region,Bipin Kumar,Principal,https://in.linkedin.com/in/bipin-kumar-93b38b227
Delhi World Public School Zirakpur,Dr Rajiv Ranjan,Principal,https://in.linkedin.com/in/dr-rajiv-ranjan-4b2214369
St Joseph’s Senior Secondary School Chandigarh,Anupam Grewal,Principal,https://in.linkedin.com/in/anupam-grewal-98a59a27
Holy Heart Presidency School Amritsar Road Chandigarh Region,Shilpa didi Seth,Principal,https://in.linkedin.com/in/shilpa-didi-seth-b6891411a
Saint Soldier Divine Public School Chandigarh,Pratiksha Sharma,Principal,https://in.linkedin.com/in/pratiksha-sharma-45a383317
Guru Gobind Singh Public School Chandigarh,Jayshree Sawant,Principal,https://in.linkedin.com/in/jayshree-sawant-2a081673
Chandigarh Learning Academy,Jasmeet Kahlon,Principal,https://in.linkedin.com/in/jasmeet-kahlon-76456270
Vivek International School Mohali,Anuradha Bajaj Dua,Principal,https://in.linkedin.com/in/anuradha-bajaj-dua-8093b312
Mata Gujri Public School Zirakpur,Daljeet Bhandari,Principal,https://in.linkedin.com/in/daljeet-bhandari-266527294
Scholars Public School Chandigarh,Shuchita Gupta,Principal,https://in.linkedin.com/in/shuchita-gupta-7192991a7
