School,Name,Role,LinkedIn
Bombay Scottish School Powai,Sunita George,Principal,https://in.linkedin.com/in/sunita-george-a9b87451
Jamnabai Narsee School,Josephine (Jessie) Vas,Principal,https://in.linkedin.com/in/josephine-jessie-vas-b9805521
Ecole Mondiale World School,Jo Williams,Principal,https://in.linkedin.com/in/jo-williams-4104b852
Oberoi International School,Manjula Shenoi,Principal,https://in.linkedin.com/in/manjula-shenoi-5b1b8423
Aditya Birla World Academy,Radhika Sinha,Principal,https://in.linkedin.com/in/radhika-sinha-3796a045
Singapore International School Mumbai,Stephen Willoughby,Principal,https://in.linkedin.com/in/stephen-willoughby-20728a21
